Date,AK confirmed,AK deaths
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,1,0
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,3,0
2020-03-17,6,0
2020-03-18,6,0
2020-03-19,10,0
2020-03-20,13,0
2020-03-21,15,0
2020-03-22,23,0
2020-03-23,37,0
2020-03-24,42,0
2020-03-25,59,1
2020-03-26,69,1
2020-03-27,85,2
2020-03-28,102,2
2020-03-29,114,3
2020-03-30,119,3
2020-03-31,133,3
2020-04-01,142,3
2020-04-02,147,3
2020-04-03,157,3
2020-04-04,171,5
2020-04-05,185,7
2020-04-06,191,7
2020-04-07,213,6
2020-04-08,226,7
2020-04-09,236,7
2020-04-10,247,7
2020-04-11,258,8
2020-04-12,273,8
2020-04-13,278,8
2020-04-14,286,9
2020-04-15,294,9
2020-04-16,301,9
2020-04-17,310,9
2020-04-18,315,9
2020-04-19,320,9
2020-04-20,322,9
2020-04-21,330,9
2020-04-22,336,9
2020-04-23,338,9
2020-04-24,340,9
2020-04-25,340,9
2020-04-26,342,9
2020-04-27,346,9
2020-04-28,352,9
2020-04-29,356,9
2020-04-30,356,9
2020-05-01,365,9
2020-05-02,366,9
2020-05-03,369,9
2020-05-04,371,9
2020-05-05,372,9
2020-05-06,373,10
2020-05-07,375,10
2020-05-08,378,10
2020-05-09,379,10
2020-05-10,380,10
2020-05-11,382,10
2020-05-12,384,10
2020-05-13,384,10
2020-05-14,388,10
2020-05-15,388,10
2020-05-16,388,10
2020-05-17,397,10
2020-05-18,400,10
2020-05-19,400,10
2020-05-20,402,10
2020-05-21,402,10
2020-05-22,404,10
2020-05-23,408,10
2020-05-24,408,10
2020-05-25,409,10
2020-05-26,411,10
2020-05-27,412,10
2020-05-28,425,10
2020-05-29,430,10
