Date,AL confirmed,AL deaths
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,5,0
2020-03-14,6,0
2020-03-15,11,0
2020-03-16,7,0
2020-03-17,10,0
2020-03-18,12,0
2020-03-19,27,0
2020-03-20,28,0
2020-03-21,25,0
2020-03-22,36,0
2020-03-23,29,0
2020-03-24,46,0
2020-03-25,144,1
2020-03-26,145,0
2020-03-27,108,1
2020-03-28,78,1
2020-03-29,108,1
2020-03-30,116,2
2020-03-31,56,7
2020-04-01,109,3
2020-04-02,164,1
2020-04-03,264,4
2020-04-04,98,5
2020-04-05,208,5
2020-04-06,163,1
2020-04-07,194,7
2020-04-08,300,9
2020-04-09,341,0
2020-04-10,169,10
2020-04-11,255,2
2020-04-12,319,1
2020-04-13,220,0
2020-04-14,150,12
2020-04-15,286,2
2020-04-16,163,7
2020-04-17,115,14
2020-04-18,204,14
2020-04-19,178,2
2020-04-20,177,0
2020-04-21,243,29
2020-04-22,281,33
2020-04-23,227,20
2020-04-24,201,14
2020-04-25,187,4
2020-04-26,204,6
2020-04-27,120,9
2020-04-28,207,13
2020-04-29,172,21
2020-04-30,147,8
2020-05-01,231,18
2020-05-02,317,0
2020-05-03,274,2
2020-05-04,225,8
2020-05-05,326,17
2020-05-06,255,27
2020-05-07,355,27
2020-05-08,338,13
2020-05-09,284,7
2020-05-10,221,3
2020-05-11,275,10
2020-05-12,304,37
2020-05-13,231,10
2020-05-14,395,22
2020-05-15,293,12
2020-05-16,284,0
2020-05-17,97,3
2020-05-18,310,1
2020-05-19,296,14
2020-05-20,675,22
2020-05-21,361,7
2020-05-22,260,12
2020-05-23,482,10
2020-05-24,355,7
2020-05-25,687,8
2020-05-26,454,14
2020-05-27,381,3
2020-05-28,524,22
2020-05-29,478,5
