Date,AL confirmed,AL deaths
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,5,0
2020-03-14,11,0
2020-03-15,22,0
2020-03-16,29,0
2020-03-17,39,0
2020-03-18,51,0
2020-03-19,78,0
2020-03-20,106,0
2020-03-21,131,0
2020-03-22,167,0
2020-03-23,196,0
2020-03-24,242,0
2020-03-25,386,1
2020-03-26,531,1
2020-03-27,639,2
2020-03-28,717,3
2020-03-29,825,4
2020-03-30,941,6
2020-03-31,997,13
2020-04-01,1106,16
2020-04-02,1270,17
2020-04-03,1534,21
2020-04-04,1632,26
2020-04-05,1840,31
2020-04-06,2003,32
2020-04-07,2197,39
2020-04-08,2497,48
2020-04-09,2838,48
2020-04-10,3007,58
2020-04-11,3262,60
2020-04-12,3581,61
2020-04-13,3801,61
2020-04-14,3951,73
2020-04-15,4237,75
2020-04-16,4400,82
2020-04-17,4515,96
2020-04-18,4719,110
2020-04-19,4897,112
2020-04-20,5074,112
2020-04-21,5317,141
2020-04-22,5598,174
2020-04-23,5825,194
2020-04-24,6026,208
2020-04-25,6213,212
2020-04-26,6417,218
2020-04-27,6537,227
2020-04-28,6744,240
2020-04-29,6916,261
2020-04-30,7063,269
2020-05-01,7294,287
2020-05-02,7611,287
2020-05-03,7885,289
2020-05-04,8110,297
2020-05-05,8436,314
2020-05-06,8691,341
2020-05-07,9046,368
2020-05-08,9384,381
2020-05-09,9668,388
2020-05-10,9889,391
2020-05-11,10164,401
2020-05-12,10468,438
2020-05-13,10699,448
2020-05-14,11094,470
2020-05-15,11387,482
2020-05-16,11671,482
2020-05-17,11768,485
2020-05-18,12078,486
2020-05-19,12374,500
2020-05-20,13049,522
2020-05-21,13410,529
2020-05-22,13670,541
2020-05-23,14152,551
2020-05-24,14507,558
